time,id,rssi
2025-07-05T12:07:52Z,1978617878,-89
2025-07-05T12:07:57Z,1978617878,-74
2025-07-05T12:07:59Z,3407074B7A,-71
2025-07-05T12:08:02Z,1978617878,-79
2025-07-05T12:08:04Z,34000000,-67
2025-07-05T12:08:08Z,1978617878,-82
2025-07-05T12:08:13Z,1978617878,-89
2025-07-05T12:08:18Z,1978617878,-93
2025-07-05T12:08:23Z,1978617878,-90
2025-07-05T12:08:27Z,3407074B7A,-86
2025-07-05T12:08:28Z,1978617878,-85
2025-07-05T12:08:32Z,34000000,-100
2025-07-05T12:08:34Z,1978617878,-98
2025-07-05T12:08:44Z,1978617878,-97
2025-07-05T12:08:49Z,1978617878,-101
2025-07-05T12:08:55Z,1978617878,-101
2025-07-05T12:08:56Z,3407074B7A,-96
2025-07-05T12:09:01Z,34000000,-104
2025-07-05T12:09:05Z,1978617878,-103
2025-07-05T12:11:18Z,00000000,-62
2025-07-05T12:11:56Z,00000000,-60
2025-07-05T12:13:04Z,FFFFFFFF,-68
2025-07-05T12:14:29Z,FFFFFFFF,-53
2025-07-05T12:18:30Z,3487074B,-109
2025-07-05T12:18:46Z,FFFFFFFF,-53
2025-07-05T12:19:17Z,7FFFFFFF,-48
2025-07-05T12:19:22Z,7FFFFFFF,-49
2025-07-05T12:19:31Z,00000000,-63
2025-07-05T12:19:31Z,00000000,-54
2025-07-05T12:19:32Z,55520000,-49
2025-07-05T12:19:36Z,00000000,-63
2025-07-05T12:19:36Z,557FFFFF,-60
2025-07-05T12:19:40Z,00000000,-37
2025-07-05T12:20:09Z,0000000000,-59
2025-07-05T12:20:29Z,4C000000,-42
2025-07-05T12:20:38Z,7FFFFFFF,-57
2025-07-05T12:20:39Z,0000000000,-70
2025-07-05T12:20:40Z,33FFFFFF,-57
2025-07-05T12:20:43Z,7FFFFFFF,-50
2025-07-05T12:20:48Z,7FFFFFFF,-43
2025-07-05T12:20:50Z,33FFFFFF,-62
2025-07-05T12:20:53Z,7FFFFFFF,-59
2025-07-05T12:20:58Z,00000000,-43
2025-07-05T12:21:00Z,33FFFFFF,-62
2025-07-05T12:21:08Z,4C000000,-50
2025-07-05T12:28:15Z,55522A34,-100
2025-07-05T12:28:16Z,4C336166,-90
2025-07-05T12:28:29Z,7FFFFFFF,-80
2025-07-05T12:28:31Z,33000000,-92
2025-07-05T12:43:08Z,34522D2D87,-104
2025-07-05T12:43:08Z,52190000,-107
2025-07-05T12:43:13Z,34522D2D87,-96
2025-07-05T12:43:17Z,3366551929,-98
2025-07-05T12:43:18Z,34522D2D,-103
2025-07-05T12:43:23Z,34522D00,-102
2025-07-05T12:43:27Z,34520000,-106
2025-07-05T12:43:27Z,4C7FFFFF,-96
2025-07-05T12:43:30Z,337FFFFF,-107
2025-07-05T12:43:30Z,521978190D,-110
2025-07-05T12:43:31Z,34522D2D87,-104
2025-07-05T12:43:33Z,3366551929,-100
2025-07-05T12:43:35Z,34522D2D87,-104
2025-07-05T12:43:35Z,521978190D,-105
2025-07-05T12:43:36Z,4C52337F,-86
2025-07-05T12:43:39Z,3366551929,-104
2025-07-05T12:43:40Z,34522D2D87,-93
2025-07-05T12:43:40Z,521978FF,-97
2025-07-05T12:43:44Z,3366551929,-104
2025-07-05T12:43:45Z,4C52337F,-98
2025-07-05T12:43:46Z,521978190D,-98
2025-07-05T12:43:49Z,3366551929,-102
2025-07-05T12:43:50Z,3452AD61,-112
2025-07-05T12:43:51Z,521978190D,-99
2025-07-05T12:43:53Z,4C52336167,-96
2025-07-05T12:43:54Z,3366551929,-98
2025-07-05T12:43:56Z,521978190D,-99
2025-07-05T12:43:59Z,4C52336167,-95
2025-07-05T12:43:59Z,3366551929,-98
2025-07-05T12:44:01Z,521978190D,-99
2025-07-05T12:44:02Z,4C523361,-90
2025-07-05T12:44:05Z,3366551929,-106
2025-07-05T12:44:06Z,521978190D,-103
2025-07-05T12:44:09Z,34522D00,-105
2025-07-05T12:44:10Z,33665519,-102
2025-07-05T12:44:10Z,4C52337F,-88
2025-07-05T12:44:12Z,521978190D,-103
2025-07-05T12:44:14Z,33665519,-103
2025-07-05T12:44:14Z,4C520000,-89
2025-07-05T12:44:17Z,521978190D,-104
2025-07-05T12:44:17Z,33665519,-103
2025-07-05T12:44:21Z,33665519,-103
2025-07-05T12:44:22Z,52197800,-103
2025-07-05T12:44:25Z,34520000,-104
2025-07-05T12:44:25Z,33665519,-103
2025-07-05T12:44:26Z,52197819,-103
2025-07-05T12:44:29Z,3366551929,-103
2025-07-05T12:44:30Z,52197819,-98
2025-07-05T12:44:32Z,4C523361,-92
2025-07-05T12:44:34Z,3366551929,-101
2025-07-05T12:44:39Z,33665519,-104
2025-07-05T12:44:41Z,55000000,-104
2025-07-05T12:44:43Z,33665500,-98
2025-07-05T12:44:44Z,4C7FFFFF,-93
2025-07-05T12:44:46Z,52197F7F,-105
2025-07-05T12:44:47Z,00000000,-107
2025-07-05T12:44:48Z,4C7FFFFF,-90
2025-07-05T12:44:50Z,52197FFF,-99
2025-07-05T12:44:53Z,7FFFFFFF,-106
2025-07-05T12:44:54Z,52197FFF,-103
2025-07-05T12:44:58Z,52197FFF,-102
2025-07-05T12:45:06Z,52190000,-102
2025-07-05T12:45:09Z,52190000,-101
2025-07-05T12:45:13Z,52197FFF,-101
2025-07-05T12:45:17Z,52190000,-101
2025-07-05T12:45:21Z,52190000,-102
2025-07-05T12:45:23Z,55FFFFFF,-98
2025-07-05T12:45:27Z,33667FFF,-109
2025-07-05T12:45:34Z,00000000,-90
2025-07-05T12:45:35Z,52197800,-104
2025-07-05T12:45:39Z,00000000,-90
2025-07-05T12:45:42Z,347FFFFF,-105
2025-07-05T12:45:47Z,52197800,-99
2025-07-05T12:45:51Z,52190000,-104
2025-07-05T12:45:56Z,55000000,-104
2025-07-05T12:46:07Z,52000000,-98
2025-07-05T12:46:08Z,34520000,-102
2025-07-05T12:46:10Z,7FFFFFFF,-110
2025-07-05T12:46:10Z,52000000,-99
2025-07-05T12:46:18Z,52000000,-98
2025-07-05T12:46:22Z,52000000,-102
2025-07-05T12:46:26Z,55520000,-104
2025-07-05T12:46:26Z,52000000,-104
2025-07-05T12:46:29Z,7FFFFFFF,-106
2025-07-05T12:46:36Z,34000000,-102
2025-07-05T12:46:38Z,55522A00,-101
2025-07-05T12:46:38Z,52000000,-98
2025-07-05T12:46:40Z,34000000,-101
2025-07-05T12:46:42Z,52000000,-106
2025-07-05T12:46:42Z,52000000,-98
2025-07-05T12:46:54Z,55000000,-107
2025-07-05T12:46:54Z,7FFFFFFF,-93
2025-07-05T12:46:56Z,52197819,-101
2025-07-05T12:46:59Z,4C000000,-94
2025-07-05T12:47:03Z,7FFFFFFF,-101
2025-07-05T12:47:08Z,52000000,-102
2025-07-05T12:47:14Z,00000000,-103
2025-07-05T12:47:15Z,337FFFFF,-104
2025-07-05T12:47:19Z,337FFFFF,-104
2025-07-05T12:47:31Z,337FFFFF,-96
2025-07-05T12:47:35Z,337FFFFF,-107
2025-07-05T12:47:39Z,337FFFFF,-101
2025-07-05T12:47:43Z,337FFFFF,-95
2025-07-05T12:47:47Z,337FFFFF,-95
2025-07-05T12:47:51Z,33000000,-97
2025-07-05T12:47:55Z,33000000,-98
2025-07-05T12:47:59Z,33000000,-98
2025-07-05T12:48:03Z,33000000,-90
2025-07-05T12:48:06Z,0000000000,-108
2025-07-05T12:48:10Z,0000000000,-95
2025-07-05T12:48:14Z,0000000000,-87
2025-07-05T12:48:18Z,0000000000,-89
2025-07-05T12:48:22Z,0000000000,-95
2025-07-05T12:48:26Z,0000000000,-91
2025-07-05T12:48:30Z,0000000000,-95
2025-07-05T12:48:50Z,33FFFFFF,-103
