time,id,rssi
2025-07-04T22:56:57Z,1978617878,-62
2025-07-04T22:57:03Z,1978617878,-62
2025-07-04T22:57:08Z,1978617878,-62
2025-07-04T22:57:13Z,1978617878,-57
2025-07-04T22:57:18Z,1978617878,-72
2025-07-04T22:57:23Z,1978617878,-72
2025-07-04T22:57:29Z,1978617878,-46
2025-07-04T22:57:34Z,1978617878,-52
2025-07-05T12:07:46Z,1978617878,-102
2025-07-05T12:07:51Z,1978617878,-93
2025-07-05T12:07:56Z,1978617878,-75
2025-07-05T12:07:58Z,3407074B7A,-66
2025-07-05T12:08:01Z,1978617878,-86
2025-07-05T12:08:03Z,34000000,-74
2025-07-05T12:08:06Z,1978617878,-94
2025-07-05T12:08:12Z,1978617878,-93
2025-07-05T12:08:17Z,1978617878,-92
2025-07-05T12:08:22Z,1978617878,-82
2025-07-05T12:08:26Z,3407074B7A,-82
2025-07-05T12:08:27Z,1978617878,-91
2025-07-05T12:08:38Z,1978617878,-93
2025-07-05T12:08:43Z,1978617878,-105
2025-07-05T12:08:48Z,1978617878,-106
2025-07-05T12:08:53Z,1978617878,-108
2025-07-05T12:08:54Z,3407074B7A,-90
2025-07-05T12:08:58Z,1978617878,-108
2025-07-05T12:08:59Z,34000000,-100
2025-07-05T12:09:04Z,1978617878,-105
2025-07-05T12:09:09Z,1978617878,-107
2025-07-05T12:09:14Z,1978617878,-106
2025-07-05T12:09:19Z,1978E178,-109
2025-07-05T12:11:17Z,00000000,-62
2025-07-05T12:11:55Z,0000000000,-66
2025-07-05T12:13:03Z,FFFFFFFF,-73
2025-07-05T12:14:27Z,FFFFFFFF,-65
2025-07-05T12:18:45Z,FFFFFFFF,-74
2025-07-05T12:19:16Z,7FFFFFFF,-68
2025-07-05T12:19:21Z,7FFFFFFF,-68
2025-07-05T12:19:25Z,7FFFFFFF,-87
2025-07-05T12:19:29Z,00000000,-78
2025-07-05T12:19:30Z,00000000,-80
2025-07-05T12:19:30Z,55520000,-72
2025-07-05T12:19:34Z,00000000,-72
2025-07-05T12:19:35Z,557FFFFF,-71
2025-07-05T12:19:39Z,00000000,-54
2025-07-05T12:20:07Z,0000000000,-37
2025-07-05T12:20:27Z,4C000000,-27
2025-07-05T12:20:37Z,7FFFFFFF,-35
2025-07-05T12:20:38Z,0000000000,-35
2025-07-05T12:20:39Z,33FFFFFF,-40
2025-07-05T12:20:42Z,7FFFFFFF,-28
2025-07-05T12:20:47Z,7FFFFFFF,-27
2025-07-05T12:20:49Z,33FFFFFF,-41
2025-07-05T12:20:52Z,7FFFFFFF,-28
2025-07-05T12:20:57Z,00000000,-51
2025-07-05T12:20:58Z,33FFFFFF,-62
2025-07-05T12:21:07Z,4C000000,-49
2025-07-05T12:28:14Z,55522A34,-95
2025-07-05T12:28:28Z,7FFFFFFF,-74
2025-07-05T12:28:30Z,33000000,-88
2025-07-05T12:43:06Z,33667FFF,-82
2025-07-05T12:43:06Z,34522D2D87,-86
2025-07-05T12:43:06Z,52190000,-90
2025-07-05T12:43:11Z,34522D2D87,-94
2025-07-05T12:43:14Z,52197FFF,-82
2025-07-05T12:43:16Z,34522D2D,-100
2025-07-05T12:43:18Z,521978190D,-80
2025-07-05T12:43:22Z,34522D00,-95
2025-07-05T12:43:23Z,521978190D,-79
2025-07-05T12:43:26Z,34520000,-99
2025-07-05T12:43:26Z,4C7FFFFF,-76
2025-07-05T12:43:28Z,337FFFFF,-87
2025-07-05T12:43:29Z,521978190D,-81
2025-07-05T12:43:29Z,34522D2D87,-98
2025-07-05T12:43:32Z,3366551929,-90
2025-07-05T12:43:33Z,34522D2D87,-88
2025-07-05T12:43:34Z,521978190D,-87
2025-07-05T12:43:35Z,4C52337F,-87
2025-07-05T12:43:37Z,3366551929,-92
