Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2025-07-04T22:51:04Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,150
1999-11-30T00:00:00Z,0.000000,0.000000,0,0.00,0.00,0.00,0,0,10
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,15
2025-07-09T11:34:00Z,38.892910,-78.163429,375,1.89,0.00,0.00,1,5,120
2025-07-09T13:28:00Z,38.892906,-78.160744,389,1.25,0.00,0.00,1,6,94
2025-07-09T15:08:16Z,38.895157,-78.162048,391,0.61,0.89,1.08,3,17,90
2025-07-09T17:02:49Z,38.895981,-78.165596,357,0.85,1.20,1.47,3,13,90
2025-07-09T18:28:35Z,38.896515,-78.165520,353,0.97,0.90,1.32,3,9,90
2080-01-05T23:59:49Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,22
2025-07-09T19:37:35Z,38.913258,-78.100327,247,1.27,0.83,1.51,3,8,90
2025-07-09T20:09:44Z,38.799599,-77.632545,134,0.93,0.78,1.22,3,10,91
2025-07-09T22:14:51Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
