Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2023-09-14T11:53:50Z,39.001171,-74.913864,13,0.79,0.78,1.11,3,12,91
2023-09-21T14:26:03Z,39.000977,-74.913780,47,1.27,0.88,1.54,3,8,90
2023-09-21T16:28:15Z,39.001030,-74.913788,18,0.74,0.71,1.02,3,13,122
2023-09-27T14:03:59Z,39.001053,-74.913834,13,1.59,0.00,0.00,1,7,109
2023-09-27T16:05:53Z,39.001099,-74.913750,25,0.82,0.73,1.10,3,12,90
2023-09-27T18:07:40Z,39.000874,-74.913727,12,0.84,0.93,1.78,3,12,90
2023-09-29T13:18:33Z,39.000969,-74.913918,4,1.58,0.93,1.83,3,6,93
1999-11-30T00:00:00Z,0.000000,0.000000,0,0.00,0.00,0.00,0,0,10
2025-05-24T12:16:18Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-24T16:26:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2023-10-01T02:52:32Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-25T04:57:44Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-25T07:02:56Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-25T09:08:08Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2023-10-01T17:28:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-25T19:33:53Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-25T21:39:04Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-26T01:49:26Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-26T08:05:02Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-26T10:10:14Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-26T20:36:02Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-27T00:46:24Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-27T02:51:36Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-27T04:56:48Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-06T00:04:40Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2025-05-27T09:07:12Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,300
2080-01-05T23:59:50Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,10
