Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2025-05-27T18:19:42Z,38.929794,-77.052399,103,0.97,0.84,1.29,3,9,91
2025-05-27T20:21:31Z,38.929779,-77.052460,87,1.64,0.00,0.00,1,4,96
2025-05-27T22:24:11Z,38.930027,-77.052345,21,2.68,0.00,0.00,1,5,148
2025-05-28T00:25:54Z,38.929676,-77.053024,30,1.25,0.94,1.56,3,6,90
2025-05-28T02:27:52Z,38.930340,-77.053871,237,1.48,0.93,1.99,1,7,106
2025-05-28T04:29:34Z,38.929100,-77.052605,338,1.38,1.00,1.70,2,4,90
2025-05-28T06:31:47Z,38.929131,-77.052177,-29,2.58,0.99,3.20,3,6,121
2025-05-28T08:34:40Z,38.929695,-77.052322,-18,2.13,0.99,2.34,3,5,165
2025-05-28T10:36:22Z,38.929974,-77.052567,86,1.42,0.89,1.68,3,7,90
2025-05-28T12:38:04Z,38.929676,-77.052490,102,1.30,0.90,1.58,3,8,90
2025-05-28T14:39:46Z,38.929657,-77.052101,279,1.34,0.86,1.59,3,8,90
2025-05-28T16:41:26Z,38.929836,-77.052246,78,1.34,0.87,1.60,3,8,90
2025-05-28T18:44:10Z,38.929462,-77.052147,35,2.29,0.00,0.00,1,5,153
2025-05-28T20:47:24Z,38.929783,-77.052284,53,2.25,0.98,2.47,3,5,181
2025-05-28T22:50:10Z,38.930408,-77.052612,125,2.60,1.00,3.54,1,6,154
2025-05-29T00:51:52Z,38.929668,-77.052124,51,2.54,0.98,2.72,3,5,90
2025-05-29T02:53:34Z,38.929939,-77.052376,89,1.69,0.98,1.95,3,5,90
2025-05-29T04:55:16Z,38.929829,-77.052429,90,2.40,0.82,2.54,3,5,90
2025-05-29T06:56:55Z,38.929695,-77.052063,62,2.22,0.87,2.38,3,7,90
2025-05-29T08:58:37Z,38.929672,-77.052437,88,2.69,0.92,2.84,3,6,90
2025-05-29T11:00:19Z,38.929634,-77.053497,147,2.25,0.94,2.14,3,5,90
2025-05-29T13:03:31Z,38.929684,-77.052460,135,2.66,1.00,16.98,3,5,180
