Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2025-06-06T17:56:34Z,38.929665,-77.052261,76,1.01,0.81,1.30,3,9,91
2025-06-06T19:58:15Z,38.929733,-77.052299,92,1.10,0.86,1.40,3,10,90
2025-06-06T21:59:53Z,38.929680,-77.052185,68,0.94,0.81,1.24,3,12,93
2025-06-07T00:01:39Z,38.929672,-77.052292,81,0.73,1.17,1.38,3,14,90
2025-06-07T02:03:23Z,38.929688,-77.052147,68,0.98,0.83,1.28,3,11,94
2025-06-07T04:05:04Z,38.929642,-77.052208,105,0.96,0.84,1.27,3,11,90
2025-06-07T06:06:43Z,38.929680,-77.052292,59,0.90,0.81,1.21,3,12,91
2025-06-07T08:08:30Z,38.929745,-77.052208,52,0.87,0.90,1.25,3,11,90
2025-06-07T10:10:12Z,38.929657,-77.052277,128,0.96,0.84,1.27,3,12,90
2025-06-07T12:11:52Z,38.929600,-77.052261,77,0.92,0.78,1.20,3,12,90
2025-06-07T14:13:34Z,38.929668,-77.052254,66,0.93,1.47,1.74,3,12,91
2025-06-07T16:15:14Z,38.929764,-77.052277,43,1.03,0.86,1.34,3,10,90
2025-06-07T18:16:54Z,38.929665,-77.052299,69,1.17,0.89,1.47,3,9,90
2025-06-07T20:18:35Z,38.929810,-77.052322,131,1.08,1.40,1.76,3,12,90
2025-06-07T22:20:16Z,38.929703,-77.052299,92,0.86,1.32,1.62,3,11,90
2025-06-08T00:21:57Z,38.929661,-77.052208,51,1.01,2.23,2.45,3,10,90
2025-06-08T02:23:38Z,38.929592,-77.052261,92,1.23,0.95,1.55,3,9,90
2025-06-08T04:25:18Z,38.929707,-77.052200,66,0.81,1.17,1.42,3,13,90
2025-06-08T06:26:57Z,38.929710,-77.052254,69,0.76,1.05,1.29,3,14,90
2025-06-08T08:28:36Z,38.929695,-77.052292,52,0.82,0.83,1.17,3,11,90
2025-06-08T10:30:15Z,38.929604,-77.052231,72,1.10,0.97,1.47,3,10,90
2025-06-08T12:31:53Z,38.929699,-77.052277,73,0.92,1.24,1.54,3,11,90
2025-06-08T14:33:33Z,38.929661,-77.052315,63,0.88,0.79,1.18,3,11,90
2025-06-08T16:35:15Z,38.929607,-77.052338,54,1.04,0.94,1.40,3,9,90
2025-06-08T18:36:56Z,38.929607,-77.052208,89,1.07,0.88,1.38,3,10,90
2025-06-08T20:38:35Z,38.929688,-77.052231,60,0.80,1.23,1.47,3,13,90
2025-06-08T22:40:14Z,38.929707,-77.052246,60,0.83,1.56,1.77,3,12,90
2025-06-09T00:41:55Z,38.929638,-77.052193,76,0.92,1.61,1.85,3,11,90
2025-06-09T02:43:37Z,38.929604,-77.052353,86,0.77,1.09,1.33,3,14,90
2025-06-09T04:45:19Z,38.929684,-77.052216,74,0.75,0.74,1.06,3,14,90
2025-06-09T06:47:01Z,38.929661,-77.052208,59,0.85,1.52,1.74,3,11,90
2025-06-09T08:48:43Z,38.929615,-77.052284,66,1.06,0.87,1.37,3,10,90
2025-06-09T10:50:25Z,38.929653,-77.052261,47,0.85,1.89,2.06,3,12,90
2025-06-09T12:52:04Z,38.929688,-77.052299,67,0.91,0.79,1.21,3,12,90
2025-06-09T14:53:47Z,38.929432,-77.052231,112,0.67,1.11,1.31,3,16,91
2025-06-09T16:55:29Z,38.929661,-77.052284,57,0.77,1.31,1.52,3,13,90
2025-06-09T18:57:07Z,38.929630,-77.052277,57,0.99,0.84,1.30,3,10,90
2025-06-09T20:58:45Z,38.929619,-77.052422,77,0.85,0.80,1.17,3,13,90
2025-06-09T23:00:25Z,38.929638,-77.052216,71,0.89,1.60,1.83,3,10,90
2025-06-10T01:02:07Z,38.929573,-77.052361,79,0.79,0.74,1.08,3,13,90
2025-06-10T03:03:46Z,38.929668,-77.052254,67,0.90,1.33,1.61,3,12,90
2025-06-10T05:05:28Z,38.929611,-77.052216,95,0.88,0.80,1.19,3,11,90
2025-06-10T07:07:10Z,38.929676,-77.052246,77,0.83,1.36,1.59,3,14,90
2025-06-10T09:08:52Z,38.929649,-77.052322,58,0.77,1.30,1.51,3,13,90
2025-06-10T11:10:34Z,38.929661,-77.052254,75,0.90,1.53,1.78,3,12,90
2025-06-10T13:12:14Z,38.929684,-77.052330,65,1.01,1.51,1.82,3,12,91
2025-06-10T15:13:55Z,38.929626,-77.052261,63,0.75,0.83,1.14,3,13,90
2025-06-10T17:15:34Z,38.929642,-77.052223,72,0.77,0.99,1.26,3,13,90
2025-06-10T19:17:14Z,38.929703,-77.052246,59,0.88,1.60,1.83,3,11,90
2025-06-10T21:18:52Z,38.929565,-77.052338,87,1.02,1.59,1.89,3,11,90
2025-06-10T23:20:31Z,38.929600,-77.052246,69,0.72,1.21,1.41,3,13,90
2025-06-11T01:22:13Z,38.929665,-77.052284,60,0.79,0.73,1.08,3,13,90
2025-06-11T03:23:55Z,38.929634,-77.052299,63,0.95,1.48,1.76,3,12,90
2025-06-11T05:25:37Z,38.929482,-77.052147,103,0.88,1.14,1.45,3,13,90
2025-06-11T07:27:19Z,38.929688,-77.052284,59,0.76,1.48,1.67,3,13,90
2025-06-11T09:29:01Z,38.929646,-77.052345,62,1.04,1.35,1.70,3,10,90
2025-06-11T11:30:43Z,38.929600,-77.052277,91,0.96,0.78,1.24,3,13,90
2025-06-11T13:32:23Z,38.929661,-77.052254,94,0.86,1.11,1.41,3,14,90
