Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2025-06-20T19:05:24Z,38.929737,-77.052315,132,1.27,0.90,1.56,3,9,90
2025-06-20T21:07:05Z,38.995388,-76.999527,90,1.58,0.98,1.86,3,5,90
2025-06-20T23:08:47Z,38.995411,-76.999557,66,1.27,0.88,1.55,3,7,90
2025-06-21T01:11:48Z,38.995232,-76.999321,199,2.02,0.00,0.00,1,5,169
2025-06-21T03:15:54Z,38.995327,-76.999825,64,2.06,0.00,0.00,1,5,237
2025-06-21T05:17:36Z,38.995331,-76.999672,76,1.39,0.91,1.67,3,6,90
2025-06-21T07:20:54Z,38.995426,-76.999565,42,1.20,0.99,1.55,2,5,186
2025-06-21T09:22:36Z,38.995281,-76.999725,59,2.47,0.97,2.65,3,5,90
2025-06-21T11:24:16Z,38.929649,-77.052223,65,1.20,0.92,1.51,3,10,90
2025-06-21T13:25:59Z,38.929291,-77.052261,151,1.41,0.98,1.72,3,7,90
2025-06-21T15:27:39Z,38.929607,-77.052124,95,1.10,0.94,1.45,3,8,90
2025-06-21T17:29:21Z,38.929501,-77.052307,88,1.27,0.90,1.55,3,9,90
2025-06-27T15:27:04Z,38.929798,-77.052208,9,1.81,0.97,2.04,3,5,90
2025-06-27T17:29:03Z,38.928219,-77.051842,20,2.44,0.99,3.22,3,6,106
2025-06-27T19:30:46Z,38.928436,-77.051865,59,1.81,0.95,2.04,3,6,93
2025-06-27T21:33:10Z,38.928417,-77.051979,112,1.79,0.00,0.00,1,6,133
2025-06-27T23:34:52Z,38.928703,-77.051819,52,1.56,0.93,1.82,3,4,90
2025-06-28T01:36:34Z,38.928688,-77.051819,69,1.22,0.84,1.49,3,7,90
2025-06-28T03:38:16Z,38.928741,-77.051804,36,0.98,0.81,1.27,3,9,90
2025-06-28T05:39:58Z,38.928684,-77.051842,75,1.37,0.93,1.66,3,7,90
2025-06-28T07:41:38Z,38.928665,-77.051651,78,1.85,0.95,2.08,3,6,90
2025-06-28T09:42:17Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,27
