Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2025-06-20T11:07:46Z,38.929653,-77.052254,77,1.07,0.90,1.39,3,11,90
1999-11-30T00:00:00Z,0.000000,0.000000,0,0.00,0.00,0.00,0,0,10
2025-06-21T12:02:49Z,38.929642,-77.052261,60,1.04,0.85,1.34,3,10,84
1999-11-30T00:00:00Z,0.000000,0.000000,0,0.00,0.00,0.00,0,0,10
2025-06-21T14:26:02Z,38.928535,-77.051025,55,1.10,0.94,1.45,3,10,91
2025-06-21T16:27:45Z,38.929615,-77.052284,57,0.83,0.74,1.11,3,11,90
2025-06-27T05:33:55Z,38.929482,-77.052071,33,2.35,0.00,0.00,1,5,113
2025-06-27T07:35:38Z,38.929722,-77.052269,89,1.18,0.97,1.83,3,7,91
2025-06-27T09:37:26Z,38.929787,-77.052956,146,2.33,1.00,2.52,1,5,98
2025-06-27T11:39:04Z,38.929798,-77.052193,82,1.65,0.90,1.88,3,8,90
2025-06-27T13:40:45Z,38.929737,-77.052307,83,1.08,0.92,1.42,3,9,90
2025-06-27T15:42:25Z,38.928288,-77.050720,87,1.47,0.97,2.02,3,7,90
2025-06-27T17:44:09Z,38.928387,-77.050972,61,1.09,0.89,1.41,3,9,95
2025-06-27T19:45:48Z,38.928432,-77.051041,63,1.01,0.89,1.35,3,10,90
2025-06-27T21:47:30Z,38.928268,-77.051292,202,1.30,0.95,1.61,3,6,90
2025-06-27T23:49:12Z,38.928337,-77.050980,12,1.02,0.85,1.33,3,10,90
2025-06-28T01:50:54Z,38.928368,-77.050804,139,1.09,0.83,1.37,3,9,90
2025-06-28T03:52:36Z,38.928329,-77.051041,66,1.10,0.89,1.42,3,9,90
2025-06-28T05:54:18Z,38.928417,-77.050911,80,1.81,0.99,2.06,3,6,90
2025-06-28T07:55:56Z,38.928410,-77.050957,29,1.07,0.84,1.36,3,9,90
2025-06-28T09:57:38Z,38.928455,-77.050987,61,0.95,0.85,1.27,3,11,90
2025-06-28T11:59:20Z,38.928333,-77.050972,46,1.17,0.93,1.49,3,10,90
2025-06-28T14:01:02Z,38.928322,-77.051025,102,1.01,0.91,1.45,3,9,90
2025-06-28T16:02:44Z,38.928112,-77.050735,105,0.88,0.75,1.15,3,12,90
2025-06-28T18:04:26Z,38.928375,-77.050941,74,1.13,0.92,1.47,3,11,90
2025-06-28T20:06:08Z,38.928371,-77.050873,80,0.96,0.87,1.30,3,9,90
2025-06-28T22:07:50Z,38.928288,-77.051018,82,1.11,0.91,1.44,3,8,90
2025-06-29T00:09:32Z,38.928429,-77.050774,104,1.20,0.89,1.49,3,9,90
2025-06-29T02:11:14Z,38.928513,-77.050926,26,1.09,0.78,1.25,3,9,90
2025-06-29T04:12:56Z,38.928448,-77.051033,36,1.02,0.84,1.32,3,10,90
2025-06-29T06:14:38Z,38.928383,-77.050819,84,1.19,0.91,1.50,3,7,90
2025-06-29T08:16:21Z,38.928371,-77.050766,43,1.21,0.89,1.51,3,8,91
2025-06-29T10:18:03Z,38.928535,-77.050880,31,0.82,0.79,1.13,3,14,90
2025-06-29T12:19:45Z,38.928394,-77.050903,66,1.15,0.90,1.47,3,10,90
2025-06-29T14:21:27Z,38.928406,-77.050888,69,1.02,0.92,1.34,3,9,90
2025-06-29T16:23:09Z,38.928059,-77.050629,132,1.27,0.90,1.56,3,9,90
2025-06-29T18:24:51Z,38.928604,-77.051201,52,1.07,0.90,1.40,3,10,90
2025-06-29T20:26:33Z,38.928383,-77.050919,86,1.03,0.84,1.33,3,9,90
2025-06-29T22:28:15Z,38.928314,-77.050812,128,0.85,0.85,1.20,3,10,90
2025-06-30T00:29:53Z,38.928509,-77.050926,54,1.20,0.86,1.47,3,9,90
2025-06-30T02:31:35Z,38.928513,-77.050880,47,1.20,0.85,1.47,3,7,90
2025-06-30T04:33:17Z,38.928394,-77.050980,77,1.14,0.87,1.47,3,9,90
2025-06-30T06:34:59Z,38.928410,-77.051239,38,1.82,0.92,2.04,3,7,90
2025-06-30T08:36:41Z,38.928421,-77.050804,91,1.11,0.87,1.42,3,9,90
2025-06-30T10:38:23Z,38.928532,-77.050858,96,1.38,0.91,1.57,3,9,90
2025-06-30T12:40:05Z,38.928402,-77.050873,55,1.32,0.96,1.63,3,8,90
2025-06-30T14:41:47Z,38.928417,-77.050911,64,0.86,0.85,1.21,3,10,90
2025-06-30T16:43:26Z,38.928463,-77.051109,11,1.47,0.98,1.77,3,7,90
